,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
250,Moose Factory,51.26,-80.61,55.4,58,1,6.93,CA,1598832462
251,Gravdal,68.12,13.5,46.9,64,98,9.86,NO,1598832462
252,Neya,58.3,43.87,57.16,97,99,2.91,RU,1598832463
253,Vao,-22.67,167.48,66.99,67,55,14.76,NC,1598832212
254,North Bend,43.41,-124.22,75.0,63,1,28.86,US,1598832397
255,Camacha,33.08,-16.33,71.6,56,75,12.75,PT,1598832254
256,Mujiayingzi,42.12,118.78,67.59,80,79,3.69,CN,1598832463
257,Puruarán,19.1,-101.53,68.0,88,75,2.33,MX,1598832464
258,Turinskaya Sloboda,57.62,64.39,59.79,95,69,6.55,RU,1598832464
259,Kysyl-Syr,63.9,122.76,56.25,79,13,3.36,RU,1598832465
260,Avera,33.19,-82.53,86.0,79,1,6.53,US,1598832274
261,Tombouctou,20.0,-3.0,93.63,39,100,7.65,ML,1598832465
262,Yangi Marg`ilon,40.43,71.72,69.8,52,0,6.93,UZ,1598832235
263,Sistranda,63.73,8.83,44.6,70,20,5.82,NO,1598832465
264,Soller,39.77,2.72,69.01,77,8,3.36,ES,1598832466
265,Bethel,41.37,-73.41,68.0,61,0,5.19,US,1598832008
266,Maxixe,-23.86,35.35,69.87,84,95,14.92,MZ,1598832466
267,Lompoc,34.64,-120.46,69.01,64,1,12.75,US,1598831964
268,Stratford-upon-Avon,52.19,-1.71,51.01,95,94,1.79,GB,1598832466
269,Te Anau,-45.42,167.72,55.44,63,18,15.3,NZ,1598832167
270,Zhizdra,53.75,34.74,63.75,66,0,9.37,RU,1598832467
271,Beloha,-25.17,45.05,73.8,56,66,3.36,MG,1598832266
272,San Bartolomé de Tirajana,27.92,-15.57,71.6,68,20,20.8,ES,1598832467
273,Benghazi,32.12,20.07,77.38,70,0,15.1,LY,1598832241
274,Mendi,-6.18,143.65,68.59,57,63,3.29,PG,1598832468
275,Kavieng,-2.57,150.8,85.37,70,78,11.1,PG,1598832207
276,Antsohihy,-14.88,47.99,66.81,82,34,3.47,MG,1598832468
277,Yellowknife,62.46,-114.35,55.4,54,20,13.87,CA,1598831957
278,Port Antonio,18.18,-76.46,84.0,88,40,13.87,JM,1598832469
279,Bud,39.45,-86.18,73.4,56,1,7.67,US,1598832469
280,Causapscal,48.35,-67.23,46.0,1,100,13.51,CA,1598832469
281,Yelizovo,53.19,158.38,57.2,67,0,2.24,RU,1598832469
282,Domoni,-12.26,44.53,73.4,70,38,1.16,KM,1598832470
283,Deputatsky,69.3,139.9,37.04,87,80,5.03,RU,1598832470
284,Kostino,58.91,53.27,56.03,95,100,8.55,RU,1598832470
285,San Vicente,-26.62,-54.13,62.8,93,53,5.86,AR,1598832272
286,Lumberton,34.62,-79.01,84.2,66,1,4.09,US,1598832471
287,Toora-Khem,52.47,96.11,45.05,87,41,0.81,RU,1598832471
288,San Ramon,37.78,-121.98,89.6,22,1,10.29,US,1598832471
289,Chateaubelair,13.28,-61.25,82.4,83,75,13.87,VC,1598832472
290,Turukhansk,65.82,87.98,49.64,94,59,3.67,RU,1598832245
291,Puri,19.8,85.85,82.4,94,20,3.36,IN,1598832472
292,Lavrentiya,65.58,-171.0,50.67,72,22,26.24,RU,1598832228
293,Katsuura,35.13,140.3,88.0,83,75,4.7,JP,1598832189
294,Ngunguru,-35.62,174.5,66.0,3,44,5.01,NZ,1598832473
295,Oxelösund,58.67,17.1,53.6,100,75,9.17,SE,1598832473
296,Udachny,66.42,112.4,46.4,75,90,2.24,RU,1598832473
297,Fortuna,40.6,-124.16,70.0,48,20,13.87,US,1598832239
298,Chifeng,42.27,118.96,68.43,82,75,3.36,CN,1598832474
299,Nouadhibou,20.93,-17.03,73.4,69,11,19.46,MR,1598832246
